"Time","BidPrice","BidSize","AskPrice","AskSize"
"2014-03-19 09:20:00.175",77,344800,77.15,12400
"2014-03-19 09:30:00.089",NA,NA,77.15,16000
"2014-03-19 09:30:00.105",77.05,50000,NA,NA
"2014-03-19 09:30:00.106",NA,NA,77.15,4800
"2014-03-19 09:30:00.135",NA,NA,77.15,6800
"2014-03-19 09:30:00.160",NA,NA,77.15,8800
"2014-03-19 09:30:00.183",NA,NA,77.15,9600
"2014-03-19 09:30:00.331",NA,NA,77.15,9200
"2014-03-19 09:30:00.367",77.05,49200,NA,NA
"2014-03-19 09:30:00.824",NA,NA,77.15,10000
"2014-03-19 09:30:01.044",77,351200,NA,NA
"2014-03-19 09:30:01.054",NA,NA,77.1,22000
"2014-03-19 09:30:01.136",77,330800,NA,NA
"2014-03-19 09:30:01.144",NA,NA,77.15,8800
"2014-03-19 09:30:01.145",NA,NA,77.15,30800
"2014-03-19 09:30:01.146",NA,NA,77.15,30400
"2014-03-19 09:30:01.168",NA,NA,77.15,40400
"2014-03-19 09:30:01.169",NA,NA,77.15,18400
"2014-03-19 09:30:01.171",NA,NA,77.1,22000
"2014-03-19 09:30:01.181",77,331200,NA,NA
"2014-03-19 09:30:01.192",NA,NA,77.1,30800
"2014-03-19 09:30:01.194",NA,NA,77.1,8800
"2014-03-19 09:30:01.196",NA,NA,77.05,22000
"2014-03-19 09:30:01.268",NA,NA,77.1,8800
"2014-03-19 09:30:01.274",77,331600,NA,NA
"2014-03-19 09:30:01.275",NA,NA,77.05,11200
"2014-03-19 09:30:01.275",77,332000,NA,NA
"2014-03-19 09:30:01.276",77,332800,NA,NA
"2014-03-19 09:30:01.276",77,333200,NA,NA
"2014-03-19 09:30:01.277",77,333600,NA,NA
"2014-03-19 09:30:01.286",NA,NA,77.05,7200
"2014-03-19 09:30:01.291",NA,NA,77.05,16400
"2014-03-19 09:30:01.300",77,328400,NA,NA
"2014-03-19 09:30:01.518",77,328800,NA,NA
"2014-03-19 09:30:01.689",77,329600,NA,NA
"2014-03-19 09:30:02.049",NA,NA,77.05,38400
"2014-03-19 09:30:02.192",77,330400,NA,NA
"2014-03-19 09:30:02.212",77,330800,NA,NA
"2014-03-19 09:30:02.255",NA,NA,77.05,37200
"2014-03-19 09:30:02.274",77,333200,NA,NA
"2014-03-19 09:30:02.305",NA,NA,77.05,36800
"2014-03-19 09:30:02.322",77,334400,NA,NA
"2014-03-19 09:30:02.379",77,336000,NA,NA
"2014-03-19 09:30:02.521",NA,NA,77.05,36400
"2014-03-19 09:30:02.688",77,336800,NA,NA
"2014-03-19 09:30:02.718",77,336400,NA,NA
"2014-03-19 09:30:02.936",NA,NA,77.05,37200
"2014-03-19 09:30:03.029",NA,NA,77.05,36800
"2014-03-19 09:30:03.063",77,336000,NA,NA
"2014-03-19 09:30:03.133",NA,NA,77.05,36400
"2014-03-19 09:30:03.173",NA,NA,77.05,41600
"2014-03-19 09:30:03.176",NA,NA,77.05,19600
"2014-03-19 09:30:03.178",NA,NA,77.15,4800
"2014-03-19 09:30:03.178",77,314000,NA,NA
"2014-03-19 09:30:03.180",NA,NA,77.15,26800
"2014-03-19 09:30:03.256",77,310800,NA,NA
"2014-03-19 09:30:03.275",NA,NA,77.1,400
"2014-03-19 09:30:03.291",77,320800,NA,NA
"2014-03-19 09:30:03.293",77,321200,NA,NA
"2014-03-19 09:30:03.308",NA,NA,77.05,400
"2014-03-19 09:30:03.353",77,321600,NA,NA
"2014-03-19 09:30:03.386",77,322400,NA,NA
"2014-03-19 09:30:03.390",77,292800,NA,NA
"2014-03-19 09:30:03.403",77,293600,NA,NA
"2014-03-19 09:30:03.405",NA,NA,77.1,400
"2014-03-19 09:30:03.407",NA,NA,77.05,29600
"2014-03-19 09:30:03.409",NA,NA,77.05,51600
"2014-03-19 09:30:03.418",77,294000,NA,NA
"2014-03-19 09:30:03.428",77,294400,NA,NA
"2014-03-19 09:30:03.437",NA,NA,77.05,51200
"2014-03-19 09:30:03.585",NA,NA,77.05,50000
"2014-03-19 09:30:03.603",77,294800,NA,NA
"2014-03-19 09:30:03.631",77,311600,NA,NA
"2014-03-19 09:30:03.637",77,312400,NA,NA
"2014-03-19 09:30:03.755",77,313200,NA,NA
"2014-03-19 09:30:03.789",NA,NA,77.05,52800
"2014-03-19 09:30:03.804",77,313600,NA,NA
"2014-03-19 09:30:03.929",NA,NA,77.05,52400
"2014-03-19 09:30:04.047",NA,NA,77.05,54400
"2014-03-19 09:30:04.061",77,310800,NA,NA
"2014-03-19 09:30:04.069",NA,NA,77.05,58000
"2014-03-19 09:30:04.139",77,311200,NA,NA
"2014-03-19 09:30:04.263",77,311600,NA,NA
"2014-03-19 09:30:04.275",77,312000,NA,NA
"2014-03-19 09:30:04.293",77,312800,NA,NA
"2014-03-19 09:30:04.431",77,313200,NA,NA
"2014-03-19 09:30:04.434",77,296800,NA,NA
"2014-03-19 09:30:04.465",77,297200,NA,NA
"2014-03-19 09:30:04.533",77,301200,NA,NA
"2014-03-19 09:30:04.596",77,302400,NA,NA
"2014-03-19 09:30:04.731",77,303200,NA,NA
"2014-03-19 09:30:04.895",77,303600,NA,NA
"2014-03-19 09:30:04.913",NA,NA,77.05,60400
"2014-03-19 09:30:04.927",77,304400,NA,NA
"2014-03-19 09:30:04.971",77,306400,NA,NA
"2014-03-19 09:30:05.039",77,305600,NA,NA
"2014-03-19 09:30:05.124",77,306800,NA,NA
"2014-03-19 09:30:05.194",NA,NA,77.05,60000
"2014-03-19 09:30:05.286",77,307200,NA,NA
"2014-03-19 09:30:05.334",77,308000,NA,NA
"2014-03-19 09:30:05.389",77,307200,NA,NA
"2014-03-19 09:30:05.439",77,312000,NA,NA
"2014-03-19 09:30:05.547",77,313600,NA,NA
"2014-03-19 09:30:05.586",77,314000,NA,NA
"2014-03-19 09:30:06.222",NA,NA,77.05,59200
"2014-03-19 09:30:06.228",77,315200,NA,NA
"2014-03-19 09:30:06.244",77,315600,NA,NA
"2014-03-19 09:30:06.286",77,316000,NA,NA
"2014-03-19 09:30:06.353",77,316800,NA,NA
"2014-03-19 09:30:06.362",77,317200,NA,NA
"2014-03-19 09:30:06.364",77,318000,NA,NA
"2014-03-19 09:30:06.416",NA,NA,77.05,60800
"2014-03-19 09:30:06.452",77,318800,NA,NA
"2014-03-19 09:30:06.486",NA,NA,77.05,60400
"2014-03-19 09:30:06.526",77,319200,NA,NA
"2014-03-19 09:30:06.616",NA,NA,77.05,63200
"2014-03-19 09:30:07.193",NA,NA,77.05,62800
"2014-03-19 09:30:07.244",NA,NA,77.05,62400
"2014-03-19 09:30:07.357",77,320000,NA,NA
"2014-03-19 09:30:07.364",77,322800,NA,NA
"2014-03-19 09:30:07.439",77,326800,NA,NA
"2014-03-19 09:30:07.454",77,329200,NA,NA
"2014-03-19 09:30:07.534",77,330400,NA,NA
"2014-03-19 09:30:07.752",77,333200,NA,NA
"2014-03-19 09:30:07.838",NA,NA,77.05,64800
"2014-03-19 09:30:08.229",77,339200,NA,NA
"2014-03-19 09:30:08.248",77,343200,NA,NA
"2014-03-19 09:30:08.279",77,343600,NA,NA
"2014-03-19 09:30:08.349",77,344000,NA,NA
"2014-03-19 09:30:08.381",77,344400,NA,NA
"2014-03-19 09:30:08.409",77,345200,NA,NA
"2014-03-19 09:30:08.423",77,345600,NA,NA
"2014-03-19 09:30:08.438",77,347600,NA,NA
"2014-03-19 09:30:08.441",77,348000,NA,NA
"2014-03-19 09:30:08.581",NA,NA,77.05,64400
"2014-03-19 09:30:08.599",77,348400,NA,NA
"2014-03-19 09:30:08.651",NA,NA,77.05,64000
"2014-03-19 09:30:09.288",77,348800,NA,NA
"2014-03-19 09:30:09.309",77,349600,NA,NA
"2014-03-19 09:30:09.382",77,350000,NA,NA
"2014-03-19 09:30:09.451",77,350800,NA,NA
"2014-03-19 09:30:09.522",77,351200,NA,NA
"2014-03-19 09:30:09.534",77,363200,NA,NA
"2014-03-19 09:30:09.641",NA,NA,77.05,61200
"2014-03-19 09:30:09.647",NA,NA,77.05,66800
"2014-03-19 09:30:10.211",77,363600,NA,NA
"2014-03-19 09:30:10.232",77,364400,NA,NA
"2014-03-19 09:30:10.263",77,364800,NA,NA
"2014-03-19 09:30:10.379",77,365200,NA,NA
"2014-03-19 09:30:10.581",77,371200,NA,NA
