"Time","BidPrice","BidSize","AskPrice","AskSize"
"2014-03-18 09:20:00.075",77.4,2400,77.45,40000
"2014-03-18 09:30:00.037",77.35,33600,NA,NA
"2014-03-18 09:30:00.037",NA,NA,77.45,41600
"2014-03-18 09:30:00.062",NA,NA,77.45,39600
"2014-03-18 09:30:00.062",NA,NA,77.45,42000
"2014-03-18 09:30:00.111",NA,NA,77.45,52000
"2014-03-18 09:30:00.120",NA,NA,77.45,58800
"2014-03-18 09:30:00.152",NA,NA,77.45,65600
"2014-03-18 09:30:00.170",NA,NA,77.4,4400
"2014-03-18 09:30:00.232",NA,NA,77.4,11200
"2014-03-18 09:30:00.240",77.3,18400,NA,NA
"2014-03-18 09:30:00.241",NA,NA,77.35,33600
"2014-03-18 09:30:00.241",NA,NA,77.35,67200
"2014-03-18 09:30:00.242",NA,NA,77.35,100800
"2014-03-18 09:30:00.385",NA,NA,77.35,1e+05
"2014-03-18 09:30:00.685",77.3,18000,NA,NA
"2014-03-18 09:30:00.845",77.3,2000,NA,NA
"2014-03-18 09:30:01.041",77.25,102000,77.3,20000
"2014-03-18 09:30:01.049",77.25,80000,NA,NA
"2014-03-18 09:30:01.072",NA,NA,77.35,1e+05
"2014-03-18 09:30:01.153",NA,NA,77.35,104400
"2014-03-18 09:30:01.165",NA,NA,77.35,1e+05
"2014-03-18 09:30:01.166",NA,NA,77.35,109200
"2014-03-18 09:30:01.172",NA,NA,77.3,4400
"2014-03-18 09:30:01.245",NA,NA,77.3,4000
"2014-03-18 09:30:01.275",NA,NA,77.3,11200
"2014-03-18 09:30:01.278",NA,NA,77.3,20800
"2014-03-18 09:30:01.359",NA,NA,77.3,20400
"2014-03-18 09:30:01.503",NA,NA,77.35,70400
"2014-03-18 09:30:01.680",77.3,400,NA,NA
"2014-03-18 09:30:01.697",NA,NA,77.35,69200
"2014-03-18 09:30:01.792",NA,NA,77.35,68800
"2014-03-18 09:30:01.851",NA,NA,77.35,68400
"2014-03-18 09:30:01.954",NA,NA,77.35,73200
"2014-03-18 09:30:02.058",77.25,80000,77.3,21600
"2014-03-18 09:30:02.069",77.25,58000,NA,NA
"2014-03-18 09:30:02.080",NA,NA,77.35,73200
"2014-03-18 09:30:02.109",NA,NA,77.35,74000
"2014-03-18 09:30:02.122",77.2,14000,NA,NA
"2014-03-18 09:30:02.123",NA,NA,77.25,55600
"2014-03-18 09:30:02.123",NA,NA,77.25,66000
"2014-03-18 09:30:02.126",NA,NA,77.25,64000
"2014-03-18 09:30:02.145",NA,NA,77.25,57200
"2014-03-18 09:30:02.304",77.2,16000,NA,NA
"2014-03-18 09:30:02.389",NA,NA,77.25,53200
"2014-03-18 09:30:02.401",NA,NA,77.25,49200
"2014-03-18 09:30:02.416",NA,NA,77.25,45200
"2014-03-18 09:30:03.038",NA,NA,77.25,35200
"2014-03-18 09:30:03.073",77.15,101600,77.2,6000
"2014-03-18 09:30:03.080",77.15,79600,NA,NA
